TIME_PERIOD,excess_reserves,short_rate,govt_yield_10y,ltd_ratio_calc
2007-02-01,176544.10714285713,3.4845,4.038747588871171,113.0865616483606
2007-03-01,180569.10714285716,3.605909090909091,3.95840135179709,112.46519456115922
2007-04-01,182633.6,3.734473684210526,4.154572831917767,112.7775756299016
2007-05-01,183241.11111111112,3.7054545454545442,4.282959133155821,112.32833991417466
2007-06-01,186249.0344827586,3.870714285714286,4.5560962726441705,112.12554276965567
2007-07-01,189580.89285714287,3.9781818181818176,4.533900459050073,112.68507193314792
2007-08-01,192002.82142857145,3.9623913043478254,4.373882359236604,113.26127631904484
2007-09-01,192715.2857142857,3.943550000000001,4.331620227772666,113.04753722196178
2007-10-01,193378.82142857145,3.856434782608696,4.353557792355867,112.6989339225052
2007-11-01,194365.9714285714,3.9371363636363643,4.214320314871943,112.37314135215746
2007-12-01,196839.5357142857,3.7940526315789462,4.331526430658282,111.57023955024164
2008-01-01,200851.4,3.9368181818181824,4.163554848431886,112.21906337141571
2008-02-01,202379.07142857145,3.942857142857143,4.10437507640586,112.25221152990477
2008-03-01,205250.75,4.006,4.092839258246678,112.1274061644525
2008-04-01,207541.85714285716,3.9018181818181823,4.280636840738494,111.97583778588056
2008-05-01,208640.39285714287,3.924666666666667,4.414739932827404,111.80174582501341
2008-06-01,208082.2142857143,3.9217142857142857,4.760577974805098,111.83141363622428
2008-07-01,212666.89285714287,4.105826086956522,4.729113274162798,112.22827815740133
2008-08-01,214769.8,4.213904761904762,4.465374300260085,111.92464054615525
2008-09-01,214006.60714285716,4.188318181818182,4.451338290139668,111.06245795019369
2008-10-01,216756.2142857143,3.734782608695653,4.333795037427207,108.88322534226809
2008-11-01,218556.85714285716,3.065199999999999,4.148757749204767,108.55896409129949
2008-12-01,218682.17857142855,2.4014285714285717,3.865518097025273,107.84583836741446
2009-01-01,221501.07142857145,1.7272380952380957,3.995832800642021,108.36983846436021
2009-02-01,222052.14285714287,1.1721000000000001,4.005769252205706,108.26968597848285
2009-03-01,218596.39285714287,0.9769545454545456,3.973358006801923,107.9135688787807
2009-04-01,221558.60714285716,0.7569000000000001,3.9861538425904897,107.7076697952928
2009-05-01,220803.42857142855,0.6970999999999999,4.039335700713392,107.87803250953654
2009-06-01,217871.2857142857,0.6130454545454546,4.175782589010164,107.59341394866004
2009-07-01,219211.75,0.2725652173913043,3.9632663428113095,108.09439560412886
2009-08-01,216894.11428571428,0.2624761904761905,3.7848922542460324,108.16518824484874
2009-09-01,216885.17857142855,0.2781818181818181,3.771272424193994,108.0736213490151
2009-10-01,214722.05714285717,0.2736818181818182,3.7383908693207464,107.9948842047658
2009-11-01,212774.07142857145,0.2773809523809523,3.7151943786415504,108.018583289123
2009-12-01,211438.92592592596,0.269590909090909,3.6652985784811847,107.48460961865527
2010-01-01,211249.62790697676,0.25899999999999995,3.725306927928395,107.62977771953143
2010-02-01,210911.61904761905,0.2556,3.713880601933056,107.5672633588492
2010-03-01,211839.32142857145,0.26265217391304346,3.6559634844577262,108.06716913761537
2010-04-01,212526.9428571429,0.26825,3.6420551493141864,107.86114339385362
2010-05-01,212400.2142857143,0.25890476190476186,3.5510197844813867,107.75843204831736
2010-06-01,212518.37142857144,0.2692727272727273,3.6681980213359,107.41834706890492
2010-07-01,214376.82142857145,0.39613636363636356,3.60085675262098,107.59915443994952
2010-08-01,215707.7857142857,0.34059090909090906,3.361445882821283,107.61797958764778
2010-09-01,215283.75,0.3685909090909091,3.394913425623481,107.75956292494328
2010-10-01,213135.45714285717,0.6162857142857143,3.3353551286576906,107.58441969543429
